"begdate","enddate","pressconf","scheduled","document","url"
1947-06-05,1947-06-06,0,1,"Record of Policy Actions (257 KB PDF)","/monetarypolicy/files/fomcropa19470605.pdf"
1947-10-06,1947-10-07,0,1,"Record of Policy Actions (379 KB PDF)","/monetarypolicy/files/fomcropa19471007.pdf"
1947-12-09,1947-12-09,0,1,"Record of Policy Actions (136 KB PDF)","/monetarypolicy/files/fomcropa19471209.pdf"
1948-02-27,1948-02-27,0,1,"Historical Minutes (694 KB PDF)","/monetarypolicy/files/FOMChistmin19480227.pdf"
1948-03-01,1948-03-01,0,1,"Record of Policy Actions (135 KB PDF)","/monetarypolicy/files/fomcropa19480301.pdf"
1948-05-20,1948-05-20,0,1,"Record of Policy Actions (257 KB PDF)","/monetarypolicy/files/fomcropa19480520.pdf"
1948-10-04,1948-10-04,0,1,"Record of Policy Actions (259 KB PDF)","/monetarypolicy/files/fomcropa19481004.pdf"
1948-11-15,1948-11-15,0,1,"Historical Minutes (392 KB PDF)","/monetarypolicy/files/FOMChistmin19481115.pdf"
1948-11-30,1948-11-30,0,1,"Record of Policy Actions (137 KB PDF)","/monetarypolicy/files/fomcropa19481130.pdf"
1949-02-28,1949-02-28,0,1,"Historical Minutes (180 KB PDF)","/monetarypolicy/files/FOMChistmin19490228.pdf"
1949-03-01,1949-03-01,0,1,"Record of Policy Actions (209 KB PDF)","/monetarypolicy/files/fomcropa19490301.pdf"
1949-05-03,1949-05-03,0,1,"Record of Policy Actions (113 KB PDF)","/monetarypolicy/files/fomcropa19490503.pdf"
1949-06-28,1949-06-28,0,1,"Record of Policy Actions (217 KB PDF)","/monetarypolicy/files/fomcropa19490628.pdf"
1949-08-05,1949-08-05,0,1,"Record of Policy Actions (220 KB PDF)","/monetarypolicy/files/fomcropa19490805.pdf"
1949-12-13,1949-12-13,0,1,"Record of Policy Actions (208 KB PDF)","/monetarypolicy/files/fomcropa19491213.pdf"
1950-02-28,1950-02-28,0,1,"Historical Minutes (290 KB PDF)","/monetarypolicy/files/FOMChistmin19500228.pdf"
1950-03-01,1950-03-01,0,1,"Record of Policy Actions (201 KB PDF)","/monetarypolicy/files/fomcropa19500301.pdf"
1950-06-13,1950-06-14,0,1,"Record of Policy Actions (109 KB PDF)","/monetarypolicy/files/fomcropa19500614.pdf"
1950-08-18,1950-08-18,0,1,"Record of Policy Actions (399 KB PDF)","/monetarypolicy/files/fomcropa19500818.pdf"
1950-09-28,1950-09-28,0,1,"Record of Policy Actions (200 KB PDF)","/monetarypolicy/files/fomcropa19500928.pdf"
1950-10-11,1950-10-11,0,1,"Record of Policy Actions (208 KB PDF)","/monetarypolicy/files/fomcropa19501011.pdf"
1950-10-30,1950-10-30,0,1,"Record of Policy Actions (111 KB PDF)","/monetarypolicy/files/fomcropa19501030.pdf"
1950-11-27,1950-11-27,0,1,"Record of Policy Actions (180 KB PDF)","/monetarypolicy/files/fomcropa19501127.pdf"
1951-01-31,1951-01-31,0,1,"Record of Policy Actions (200 KB PDF)","/monetarypolicy/files/fomcropa19510131.pdf"
1951-02-06,1951-02-08,0,1,"Record of Policy Actions (225 KB PDF)","/monetarypolicy/files/fomcropa19510208.pdf"
1951-03-01,1951-03-02,0,1,"Record of Policy Actions (320 KB PDF)","/monetarypolicy/files/fomcropa19510302.pdf"
1951-03-08,1951-03-08,0,1,"Record of Policy Actions (111 KB PDF)","/monetarypolicy/files/fomcropa19510308.pdf"
1951-05-17,1951-05-17,0,1,"Record of Policy Actions (211 KB PDF)","/monetarypolicy/files/fomcropa19510517.pdf"
1951-10-04,1951-10-04,0,1,"Record of Policy Actions (295 KB PDF)","/monetarypolicy/files/fomcropa19511004.pdf"
1951-11-14,1951-11-14,0,1,"Record of Policy Actions (87 KB PDF)","/monetarypolicy/files/fomcropa19511114.pdf"
1952-02-29,1952-02-29,0,1,"Historical Minutes (502 KB PDF)","/monetarypolicy/files/FOMChistmin19520229.pdf"
1952-03-01,1952-03-01,0,1,"Record of Policy Actions (229 KB PDF)","/monetarypolicy/files/fomcropa19520301.pdf"
1952-06-19,1952-06-19,0,1,"Record of Policy Actions (236 KB PDF)","/monetarypolicy/files/fomcropa19520619.pdf"
1952-09-25,1952-09-25,0,1,"Record of Policy Actions (344 KB PDF)","/monetarypolicy/files/fomcropa19520925.pdf"
1952-12-08,1952-12-08,0,1,"Record of Policy Actions (122 KB PDF)","/monetarypolicy/files/fomcropa19521208.pdf"
1953-03-04,1953-03-05,0,1,"Record of Policy Actions (462 KB PDF)","/monetarypolicy/files/fomcropa19530305.pdf"
1953-06-11,1953-06-11,0,1,"Record of Policy Actions (359 KB PDF)","/monetarypolicy/files/fomcropa19530611.pdf"
1953-09-24,1953-09-24,0,1,"Record of Policy Actions (352 KB PDF)","/monetarypolicy/files/fomcropa19530924.pdf"
1953-12-15,1953-12-15,0,1,"Record of Policy Actions (305 KB PDF)","/monetarypolicy/files/fomcropa19531215.pdf"
1954-03-03,1954-03-03,0,1,"Record of Policy Actions (217 KB PDF)","/monetarypolicy/files/fomcropa19540303.pdf"
1954-06-23,1954-06-23,0,1,"Record of Policy Actions (220 KB PDF)","/monetarypolicy/files/fomcropa19540623.pdf"
1954-09-22,1954-09-22,0,1,"Record of Policy Actions (115 KB PDF)","/monetarypolicy/files/fomcropa19540922.pdf"
1954-12-07,1954-12-07,0,1,"Record of Policy Actions (205 KB PDF)","/monetarypolicy/files/fomcropa19541207.pdf"
1955-01-11,1955-01-11,0,1,"Record of Policy Actions (220 KB PDF)","/monetarypolicy/files/fomcropa19550111.pdf"
1955-03-02,1955-03-02,0,1,"Record of Policy Actions (343 KB PDF)","/monetarypolicy/files/fomcropa19550302.pdf"
1955-05-10,1955-05-10,0,1,"Record of Policy Actions (238 KB PDF)","/monetarypolicy/files/fomcropa19550510.pdf"
1955-06-22,1955-06-22,0,1,"Record of Policy Actions (237 KB PDF)","/monetarypolicy/files/fomcropa19550622.pdf"
1955-07-12,1955-07-12,0,1,"Record of Policy Actions (237 KB PDF)","/monetarypolicy/files/fomcropa19550712.pdf"
1955-08-02,1955-08-02,0,1,"Record of Policy Actions (231 KB PDF)","/monetarypolicy/files/fomcropa19550802.pdf"
1955-08-23,1955-08-23,0,1,"Record of Policy Actions (232 KB PDF)","/monetarypolicy/files/fomcropa19550823.pdf"
1955-09-14,1955-09-14,0,1,"Record of Policy Actions (129 KB PDF)","/monetarypolicy/files/fomcropa19550914.pdf"
1955-09-26,1955-09-26,0,0,"Record of Policy Actions (235 KB PDF)","/monetarypolicy/files/fomcropa19550926.pdf"
1955-10-04,1955-10-04,0,1,"Record of Policy Actions (129 KB PDF)","/monetarypolicy/files/fomcropa19551004.pdf"
